ID,Item,Quantity,Reference,Make,Comment,Manufacturer,MPN,ExDist,ExDist PN,ExDist Link,ExDistLink2
M5sleeve,"M4 sleeve nut, flat head",8,"M4×12, 5×16, brass, 3663072123953 visfil0, see data sheet",FALSE,#REF!,Visserie Service,6722811709_1,vis-express.fr,6722811709_1,https://www.vis-express.fr/fr/ecrou-relieur-acier/33826-503954-ecrou-relieur-tete-bombee-fendue-5x16-m4x12-laiton-3663072123953.html#/21-conditionnement-1_piece,https://www.schraubenhimmel.de/muttern/huelsenmuttern/?p=1&o=5&n=12&attributesForm_1=Messing%20vernickelt&attributesForm_2=_M%204
2Spacer6x6,spacer sleeve Ø6.2×6mm,180,"ø_out=12, ø_in=6.2, l=6 [mm], black PA-GV",FALSE,=Rod6*R1…R7+Rod6(R8-back),A.R.T. Elektromechanik-Vertriebs-GmbH,2484,artgmbh.com/,2484,https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1195/dh-062120...-pa-gv-distanzhuelse-schwarz-6-0,
2Spacer6x2,spacer sleeve Ø6.2×2mm,36,"ø_out=12, ø_in=6.2, l=2 [mm], black PA-GV",FALSE,#REF!,A.R.T. Elektromechanik-Vertriebs-GmbH,1424,artgmbh.com/,1424,https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1195/dh-062120...-pa-gv-distanzhuelse-schwarz-6-0?number=01424,
Spacer4x6,spacer sleeve Ø4.2×6mm,120,"ø_out=8, ø_in=4.2, l=6 [mm], black PA-GV",FALSE,=Rod4*R1…R7+Rod4(R8-back),A.R.T. Elektromechanik-Vertriebs-GmbH,2019,artgmbh.com/,2019,https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1188/dh-042080...-pa-gv-distanzhuelse-schwarz-6-0,
Spacer4x2,spacer sleeve Ø4.2×2mm,8,"ø_out=8, ø_in=4.2, l=2 [mm], black PA-GV",FALSE,#REF!,A.R.T. Elektromechanik-Vertriebs-GmbH,2575,artgmbh.com/,2575,https://www.artgmbh.com/distanzhuelsen-distanzhalter/distanzhuelsen-aus-kunststoff/kunststoff-distanzhuelsen/1188/dh-042080...-pa-gv-distanzhuelse-schwarz-6-0?number=02575,
2M6lnut,M6 brass locknut,12,"ISO 10511 M6, brass, low headroom",FALSE,#REF!,-,-,befestigungsfuchs.de/,21211 06,https://www.befestigungsfuchs.de/eisenwaren/muttern/sechskantmuttern/100-sechskantmuttern-mit-klemmteil-m6-din-985-messing,
2M6nut,M6 brass nut,24,"ISO 4032 M6, brass, low headroom",FALSE,#REF!,-,-,,,,
2M4nut,M4 brass nut,16,"ISO 4032 M4, brass, low headroom",FALSE,#REF!,-,-,befestigungsfuchs.de/,2910 040T100,https://www.befestigungsfuchs.de/eisenwaren/muttern/sechskantmuttern/100-sechskantmuttern-m4-sw7-messing-din-934,
M6washer,large diameter brass washer for M6 screws,12,ISO 7093-1 - 6,FALSE,#REF!,-,-,befestigungsfuchs.de/,23121 06T100,https://www.befestigungsfuchs.de/eisenwaren/unterlegscheiben-ringe/100-unterlegscheiben-fuer-m6-din-9021-messing,
M4washer,large diameter brass washer for M4 screws,8,ISO 7093-1 - 4,FALSE,#REF!,-,-,befestigungsfuchs.de/,23121 04T100,https://www.befestigungsfuchs.de/eisenwaren/unterlegscheiben-ringe/100-unterlegscheiben-fuer-m4-din-9021-messing,
Rod6,brass roundrod Ø6×450mm,12,round rod EN12164 - CW614N - M - RND6A - 500mm,TRUE,#NAME?,-,-,alu-messing-shop.de/,LM-16096-005,https://www.alu-messing-shop.de/messingrotgussbronze/rundstangen/messing-rundstange-22?number=LM-16096-005,
Rod4,brass roundrod Ø4×450mm,8,round rod EN12164 - CW614N - M - RND4A - 500mm,TRUE,#NAME?,-,-,alu-messing-shop.de/,LM-16096-003,https://www.alu-messing-shop.de/messingrotgussbronze/rundstangen/messing-rundstange-22?number=LM-16096-003,
M4hex12,"M4×12 hexagon screw, brass",384,"ISO 4017 M4 × 12 mm (head height 2,8 mm), brass",FALSE,#NAME?,-,-,befestigungsfuchs.de/,1007 04 012,https://www.befestigungsfuchs.de/schrauben/sechskantschrauben/100-sechskantschrauben-m4x12-mm-sw-7-messing-din-933,
M4hex50,"M4×50 hexagon screw, brass",12,"ISO 4017 M4 × 50 mm (head height 2,8 mm), brass",FALSE,#NAME?,-,-,befestigungsfuchs.de/,1007 04 050,https://www.befestigungsfuchs.de/schrauben/sechskantschrauben/100-sechskantschrauben-m4x50-mm-sw-7-messing-din-933,
